tSNE1,tSNE2,pKi
3.0359862,115.85144,8.698970004336019
3.0359862,115.85144,7.397940008672037
3.0888927,105.01238,8.853871964321762
3.0893407,105.008606,7.744727494896693
-13.266883,98.314384,9.0268721464003
-13.266883,98.314384,8.1249387366083
-4.1711082,109.16219,8.823908740944319
-4.1711082,109.16219,7.455931955649724
-3.072096,106.79293,8.2839966563652
-3.072096,106.79293,7.508638306165727
-6.739545,92.88671,8.585026652029182
-6.739545,92.88671,7.309803919971486
-1.9510981,106.93358,8.920818753952375
-1.9510981,106.93358,7.853871964321762
-19.279053,94.1323,9.065501548756432
-19.279053,94.1323,7.823908740944319
-2.5839484,96.50821,8.301029995663981
-2.5839484,96.50821,7.397940008672037
-7.6479855,111.90336,8.744727494896694
-7.6479855,111.90336,7.823908740944319
-0.06953458,108.60139,8.886056647693163
-0.06953458,108.60139,7.795880017344075
-3.9881315,107.30554,8.823908740944319
-3.9881315,107.30554,7.920818753952375
-3.838144,101.88639,8.638272163982407
-3.838144,101.88639,7.568636235841013
3.071011,105.02028,8.585026652029182
3.071011,105.02028,7.102372908709558
-4.9424214,114.38381,8.55284196865778
-4.9424214,114.38381,8.065501548756432
-1.7252705,51.06265,9.0
-10.560613,97.02429,8.161150909262744
-10.560613,97.02429,6.721246399047171
-5.702352,100.17795,8.3767507096021
-5.702352,100.17795,7.552841968657781
-5.1932445,110.517166,8.0
-5.1932445,110.517166,7.060480747381382
5.043412,100.67783,8.886056647693163
5.043412,100.67783,7.853871964321762
-17.042585,101.415146,7.552841968657781
-17.042585,101.415146,6.2839966563652006
0.80324,106.129814,8.142667503568731
0.80324,106.129814,6.769551078621726
-19.447838,93.22482,8.823908740944319
-19.447838,93.22482,7.376750709602099
-20.266253,98.45393,8.113509274827518
-20.266253,98.45393,6.6777807052660805
-3.7281218,98.78579,8.585026652029182
-3.7281218,98.78579,7.698970004336019
-1.329432,111.71618,8.327902142064282
-1.329432,111.71618,7.508638306165727
-1.4809849,91.872955,8.154901959985743
-1.4809849,91.872955,7.154901959985743
-3.3032608,114.01388,8.154901959985743
-3.3032608,114.01388,7.267606240177032
-1.4999843,110.0082,8.602059991327963
-1.4999843,110.0082,7.619788758288394
-1.4831382,91.87013,8.161150909262744
-1.4831382,91.87013,7.309803919971486
-3.5564747,98.887314,8.337242168318426
-3.5564747,98.887314,7.4089353929735005
-30.895859,89.498344,6.119186407719209
-9.9753895,93.05538,8.207608310501746
-9.9753895,93.05538,6.795880017344075
2.2483323,111.29162,8.698970004336019
2.2483323,111.29162,7.443697499232712
-10.669782,100.853035,8.585026652029182
-10.669782,100.853035,7.67778070526608
-8.546871,97.667625,8.619788758288394
-8.546871,97.667625,7.366531544420414
-5.3024573,87.41188,8.769551078621726
-5.3024573,87.41188,7.5376020021010435
3.036063,115.85698,8.050609993355087
3.036063,115.85698,6.698970004336019
-2.1514883,107.411606,8.823908740944319
-2.1514883,107.411606,7.769551078621726
-7.6710787,111.918465,7.508638306165727
-7.6710787,111.918465,6.853871964321762
-19.995642,93.15001,8.958607314841775
-19.995642,93.15001,7.1938200260161125
-1.3232869,114.68402,8.18045606445813
-1.3232869,114.68402,7.1249387366083
4.33104,108.149765,8.309803919971486
4.33104,108.149765,7.130768280269024
-2.456386,105.95579,8.853871964321762
-2.456386,105.95579,7.769551078621726
-17.056463,105.38714,8.638272163982407
-17.056463,105.38714,7.468521082957745
-18.075644,103.55197,8.008773924307505
-18.075644,103.55197,6.769551078621726
-10.667021,89.84307,8.301029995663981
-10.667021,89.84307,6.769551078621726
0.45683232,92.26214,8.3767507096021
0.45683232,92.26214,7.036212172654444
0.7890073,103.335754,8.958607314841775
0.7890073,103.335754,7.431798275933005
-10.671126,100.848145,9.080921907623926
-10.671126,100.848145,8.031517051446064
0.45683232,92.26214,8.075720713938118
0.45683232,92.26214,7.096910013008056
-0.39265016,100.46438,8.193820026016112
-0.39265016,100.46438,7.055517327849832
8.804173,104.93018,8.301029995663981
8.804173,104.93018,6.958607314841775
-7.772133,108.232,8.619788758288394
-7.772133,108.232,7.823908740944319
-13.219288,105.48572,8.619788758288394
-13.219288,105.48572,7.397940008672037
-1.5476639,99.36437,8.086186147616283
-1.5476639,99.36437,7.036212172654444
-3.091978,109.42683,8.443697499232712
-3.091978,109.42683,7.468521082957745
-24.575666,91.62835,8.508638306165727
-24.575666,91.62835,6.251811972993799
